10000:	0.000000
20000:	0.025000
30000:	0.025000
40000:	0.025000
50000:	0.025000
60000:	0.025000
70000:	0.200000
80000:	0.275000
90000:	0.625000
100000:	0.625000
110000:	0.700000
120000:	0.600000
130000:	0.625000
140000:	0.625000
150000:	0.775000
160000:	0.800000
170000:	0.725000
180000:	0.675000
190000:	0.800000
200000:	0.775000
210000:	0.775000
220000:	0.550000
230000:	0.650000
240000:	0.950000
250000:	0.800000
260000:	0.675000
270000:	0.750000
280000:	0.675000
290000:	0.675000
300000:	0.925000
310000:	0.800000
320000:	0.875000
330000:	0.925000
340000:	0.900000
350000:	0.850000
360000:	0.975000
370000:	0.875000
380000:	0.900000
390000:	0.800000
400000:	0.925000
410000:	0.800000
420000:	0.850000
430000:	0.800000
440000:	0.825000
450000:	0.675000
460000:	0.700000
470000:	0.700000
480000:	0.875000
490000:	0.750000

