10000:	0.000000
20000:	0.000000
30000:	0.000000
40000:	0.000000
50000:	0.000000
60000:	0.025000
70000:	0.275000
80000:	0.300000
90000:	0.750000
100000:	0.750000
110000:	0.975000
120000:	0.925000
130000:	0.975000
140000:	0.950000
150000:	0.975000
160000:	1.000000
170000:	0.950000
180000:	0.900000
190000:	0.975000
200000:	1.000000
210000:	0.975000
220000:	0.975000
230000:	1.000000
240000:	0.975000
250000:	1.000000
260000:	1.000000
270000:	0.975000
280000:	0.975000
290000:	1.000000
300000:	0.975000
310000:	1.000000
320000:	0.975000
330000:	0.975000
340000:	1.000000
350000:	1.000000
360000:	1.000000
370000:	1.000000
380000:	0.950000
390000:	1.000000
400000:	0.975000
410000:	0.975000
420000:	0.975000
430000:	0.975000
440000:	1.000000
450000:	0.950000
460000:	0.975000
470000:	1.000000
480000:	1.000000
490000:	1.000000

